               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.016828,            0.035152,           0.0082292,              0.9573,             0.94842,             0.98038,             0.92184,           0.0089859,            0.020832,           0.0069252,            0.006238,            0.006238,            0.006238
                  59,            0.015733,            0.034656,            0.008323,             0.94097,             0.91431,             0.97111,             0.91577,           0.0093138,            0.021544,           0.0099856,            0.006172,            0.006172,            0.006172
                  60,            0.016581,            0.034896,           0.0082782,             0.96236,             0.95117,             0.98199,             0.91976,           0.0098005,            0.021791,           0.0064173,            0.006106,            0.006106,            0.006106
                  61,            0.017052,            0.036295,           0.0086554,             0.95284,             0.95653,             0.97887,             0.92759,           0.0087961,            0.020861,           0.0065181,             0.00604,             0.00604,             0.00604
                  62,            0.016314,            0.034923,           0.0081051,              0.9537,             0.94567,             0.97997,             0.91725,           0.0089087,            0.020912,            0.007106,            0.005974,            0.005974,            0.005974
                  63,            0.016477,            0.035039,           0.0077246,             0.96494,             0.95839,             0.98583,             0.93599,           0.0082498,            0.020363,           0.0057922,            0.005908,            0.005908,            0.005908
                  64,            0.016152,            0.034647,           0.0077241,             0.95517,             0.94794,             0.98256,             0.94183,           0.0079695,             0.01952,           0.0070297,            0.005842,            0.005842,            0.005842
                  65,            0.015563,            0.034101,            0.008117,             0.95603,             0.95977,             0.98433,             0.93701,           0.0077937,            0.019407,           0.0066794,            0.005776,            0.005776,            0.005776
                  66,            0.015482,            0.033913,           0.0079153,             0.96527,             0.94067,             0.98218,             0.93365,           0.0083841,            0.020134,           0.0066197,             0.00571,             0.00571,             0.00571
                  67,             0.01605,            0.034475,           0.0075472,              0.9683,             0.94698,             0.98521,             0.93746,           0.0087192,            0.020488,           0.0060138,            0.005644,            0.005644,            0.005644
                  68,             0.01616,            0.035406,           0.0072766,             0.95994,             0.94649,             0.97963,             0.93285,           0.0081916,            0.020094,           0.0065344,            0.005578,            0.005578,            0.005578
                  69,            0.015396,            0.034319,           0.0072597,             0.96381,             0.94548,             0.98017,              0.9338,           0.0081629,            0.019979,           0.0067138,            0.005512,            0.005512,            0.005512
                  70,            0.015765,            0.035871,           0.0074896,             0.96075,             0.93072,             0.97907,             0.92559,           0.0084422,            0.020495,           0.0074066,            0.005446,            0.005446,            0.005446
                  71,            0.015553,            0.034375,           0.0074707,             0.95605,             0.93597,             0.97871,             0.93698,           0.0079292,            0.019819,            0.007492,             0.00538,             0.00538,             0.00538
                  72,            0.015266,            0.033059,           0.0073553,             0.95823,             0.94658,             0.98489,             0.93476,           0.0083523,            0.019995,           0.0066541,            0.005314,            0.005314,            0.005314
                  73,            0.015267,            0.032785,           0.0072408,             0.96293,             0.94897,             0.98133,             0.93774,           0.0080012,            0.019506,           0.0066866,            0.005248,            0.005248,            0.005248
                  74,            0.015204,            0.033778,           0.0072251,             0.97288,             0.94998,             0.98471,             0.94157,           0.0080639,            0.019479,           0.0059573,            0.005182,            0.005182,            0.005182
